ReceivedPower_dBm,d,LOGd
-37,1,0
-45,2,0.301029996
-50,3,0.477121255
-55,4,0.602059991
-59,5,0.698970004
-62,6,0.77815125
-63,7,0.84509804
-64,8,0.903089987
-64,9,0.954242509
-65,10,1
-69,15,1.176091259
-72,20,1.301029996
-38,1,0
-40,1.25,0.096910013
-43,1.5,0.176091259
-47,2,0.301029996
-50,3,0.477121255
-54,4,0.602059991
-58,5,0.698970004
-62,6,0.77815125
-64,7,0.84509804
-65,8,0.903089987
-65,9,0.954242509
-65,10,1
-68,13,1.113943352
-70,15,1.176091259
-71,17,1.230448921
-73,20,1.301029996
-36,1,0
-44,2,0.301029996
-52,4,0.602059991
-61,6,0.77815125
-62,8,0.903089987
-64,10,1
-65,12,1.079181246
-67,14,1.146128036
-68,16,1.204119983
-70,18,1.255272505
-71,20,1.301029996
